sr,name_address,type,capacity_MTA,registration,issue_date,validity,status,district,email,phone
30,"Kalawishwa Electrical, B-47 (Sub letting), MIDC Waluj, Dist. Aurangabad 431136",Dismantler,300,MPCB/RO(HQ)/HSMD/Autho,2019-02-25,2024-01-31,LAPSED_IN_LIST,Aurangabad,sandeepgore11@yahoo.com,9225321499
31,"Royal Scrap Traders, Gut No. 23, Plot No. 8, Mayurnagar, Naregaon, Dist. Aurangabad",Dismantler,230,MPCB/RO(HQ)/HSMD/Autho,2019-02-27,2024-01-31,LAPSED_IN_LIST,Aurangabad,omdhoot@gmail.com,7028021132
32,"E-Refine Corporation Gut No. 24, Plot No. 2, Dargah Road, Additional Daultabad, Tal. & Dist. Aurangabad",Dismantler,260,MPCB/RO(HQ)/HSMD/Autho,2019-02-27,2024-01-31,LAPSED_IN_LIST,Aurangabad,tapoffice15@gmail.com,9823998866
33,"Maharashtra Enterprises, Plot No. 17, Rangara Industrial estate, Kiravali (Adivali), Old Thane Pune Road, Tal. Panvel, Dist. Raigad",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2019-03-19,2024-03-31,LAPSED_IN_LIST,Raigad,mahaenter22@gmail.com,9892884231
34,"Sigma Enterprises, Plot No. 5 & Gut No. 54/0, Adiwali, Tal. Panvel, Raigad",Dismantler,350,MPCB/RO(HQ)/HSMD/Autho,2018-04-10,2023-03-31,LAPSED_IN_LIST,,,9821751038
35,"Saani Enterprises, Gut No. 64, Plot No. 65, Mahal Pimpri, Dist. Aurangabad",Dismantler,1200,MPCB/RO(HQ)/HSMD/Autho,2019-07-29,2024-04-30,LAPSED_IN_LIST,Aurangabad,shaikhjawed555@gmail.com,9373301060
36,"Baban Plastic, Gut No. 1, At. Sajapur, Tal. & Dist. Aurangabad 401136",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2019-04-30,2024-04-30,LAPSED_IN_LIST,Aurangabad,acc.babanplastic@gmail.com,9923299786
37,"Sultan Disposal Stores, S. No. 28/2A/B, Undri, Opp. R Point, Pune Saswad Road, Tal. Haveli, Dist. Pune 411028",Dismantler,600,MPCB/RO(HQ)/HSMD/Autho,2019-05-24,2024-04-30,LAPSED_IN_LIST,Pune,,9822082794
38,"Indian Scrap Traders Survey No. 11, Hissa No. 3/A, Ghusia Market, Gala no: 661, Vill: Pimpari, Post Dahisar,Dist: Thane",Dismantler,200,MPCB/RO(HQ)/HWMD/auth,2019-06-10,2024-05-31,LAPSED_IN_LIST,Thane,indianscrapt@gmail.com,
39,"Bombay Recyclers Pvt. Ltd. Gala No. P-17-18, S. No. 121/2, Balaji Industrial Park, Behind Hindalco Co. MIDC Taloja, Panvel, Dist. Raigad",Recycler,200,MPCB/RO(HQ)/HSMD/Autho,2019-07-29,2024-06-30,LAPSED_IN_LIST,Raigad,bombayrecyclers@gmail.co,9821174239
40,"Hari Om Scrap Traders 957/43, K.P. 2nd Lane, S. P. Road, Opp. Om Namahshivaya Bldg. Mumbai Central, Mumbai",Dismantler,49,MPCB/RO(HQ)/HSMD/Autho,2019-07-29,2024-06-30,LAPSED_IN_LIST,,hariomscrap@gmail.com,9820135742
41,"Go Green Recycling Unit No. 75/66, Hasti Industrial Estate, TTC Industrial Area, Mahape, Navi Mumbai",Dismantler,150,MPCB/RO(HQ)/HSMD/Autho,2019-07-29,2024-06-30,LAPSED_IN_LIST,,,9892859959
42,"New India Scrap Traders, Plot No. 31/E, Ashok Nagar, Dist. Aurangabad",Dismantler,150,MPCB/RO(HQ)/HSMD/Autho,2019-08-01,2024-06-30,LAPSED_IN_LIST,Aurangabad,newindia95@gmail.com,9545950000
43,"Navkar Recycling Sr. No. 69, Hissa No. 15, Mahamadiya Estate, Mumbai Panvel Road, Post. Dahisar, Dist.Thane",Dismantler,1000,MPCB/RO(HQ)/HSMD/Autho,2019-11-18,2024-11-30,LAPSED_IN_LIST,Thane,recycling.navkar@gmail.co,9987470404
44,"Harshita Green Recyclers, Gat No. 452, Urse Talegaon Dhabade, Tal. Maval, Dist. Pune",Recycler,500,MPCB/RO(HQ)/HSMD/Autho,2019-11-18,2024-11-30,LAPSED_IN_LIST,Pune,,9850205186
45,"Vora Computers Pvt. Ltd. 1B, Lara Apartments, Sadhu Vaswani Chowk, Hotel Woodland Lane, 1/D/3, Tal. & Dist.Pune",Dismantler,50,MPCB/RO(HQ)/HSMD/Autho,2019-11-19,2024-11-30,LAPSED_IN_LIST,Pune,,9823582374
46,"Clean Tech B/8, Gala No. 3, Parasnath Indl Estate, Anjurphata Road, Village Val, Tal: Bhiwandi Dist: Thane",Dismantler,360,MPCB/RO(HQ)/HSMD/Autho,2019-11-19,2024-04-30,LAPSED_IN_LIST,Thane,aashoksing@gmail.com,9892602502
47,"Green IT Recycling Centre Pvt. Ltd. Gat No. 207, Plot No. 3 & 4, Near Scienunero Company, Near PMT Depot, Shindewadi, Tal. Bhor, Dist. Pune",Dismantler,1000,MPCB/RO(HQ)/HSMD/autho/,2020-02-18,2025-01-31,LAPSED_IN_LIST,Pune,rth_raj@hotmail.com,9822356062
48,"Avis Technoways Plot No. A-58, MIDC Osmanabad, Dist. Osmanabad",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2020-02-18,2025-01-31,LAPSED_IN_LIST,Osmanabad,avis.tech@rediffmail.com,9420737679
49,"Bhavesh Enterprises, Sr. No. 225/11, Hissa No. 23, Gausiya Compound, Gate No. 1, Vill. Pimpri, Tal. & Dist. Thane",Dismantler,200,MPCB/RO(HQ)/HSMD/autho/,2020-02-14,2025-01-31,LAPSED_IN_LIST,Thane,thoufise.11@gmail.com,9987263156
50,"Om Recycling 19/2,Mangalwa Peth,19/2 mangalwarpethpune., Peth, Dist. Pune",Dismantler,100,MPCB/RO(HQ)/HSMD/autho/,2020-02-25,2025-01-31,LAPSED_IN_LIST,Pune,omrecycling@gmail.com,9850205186
51,"Wonder Print Technologies Plot No. M-36, MIDC Ambad, Dist. Nashik",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2020-02-25,2025-01-31,LAPSED_IN_LIST,Nashik,sakaria@wonderprint.in,9373522555
52,"Process Recycling Gala No,2, S. No 302, Richard Compound Near Maharashtra Vajan Kata, Umang pharma road vasaiphata, Dist. Palghar",Dismantler,125,MPCB/RO(HQ)/HSMD/autho/,2020-03-06,2025-02-28,LAPSED_IN_LIST,Palghar,san.karande1@gmail.com,7757967675
53,"New Shivam Enteprises, Gala No. 326, At. Post. Khandale, Near Suruchi Dairy, Dist. Pune",Dismantler,4800,MPCB/RO(HQ)/HSMD/autho/,2020-03-18,2025-02-28,LAPSED_IN_LIST,Pune,csashishbhadade@gmail.com,7066904939
54,"Mahesh Traders Plot No. 316, Shree Shahu Market Yard, Tal. Karveer, Dist. Kolhapur",Dismantler,107,MPCB/RO(HQ)/HSMD/autho/,2020-03-19,2025-02-28,LAPSED_IN_LIST,Kolhapur,maheshchetiwal11@gmail.co,9823901011
55,"Manihar Enterprises, Survey No. 74, Village Goteghar, Tal. Thane, Dist. Thane",Dismantler,1000,MPCB/RO(HQ)/HSMD/autho/,2019-11-30,2024-10-31,LAPSED_IN_LIST,Thane,shamimmanihar7@gmail.co,9326135646
56,"Asquare Industrial Solutions Gala No. 3, Plot No. 35, Mulgaon, MIDC Khopoli, Tal. Khopoli, Dist. Raigad",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2020-07-21,2025-06-30,LAPSED_IN_LIST,Raigad,asquare1516@gmail.com,9860034557
57,"Map Trading Company Gat No. 670, Villoli, Tal. & Dist. Nashik 422010",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2020-07-28,2025-06-30,LAPSED_IN_LIST,Nashik,abhi26mish@gmail.com,9028155357
58,"Environment Experts, Gala No. 11, Lane, J. K. Compound, Opp. Roshan Comp. Kherani Road, Sakinaka, Mumbai",Dismantler,350,MPCB/RO(HQ)/HSMD/autho/,2020-07-28,2025-06-30,LAPSED_IN_LIST,,abhi26mish@gmail.com,
59,"Green Enviro Services, 118/1, Wasali, Tal. Khed, Dist. Pune",Dismantler,700,MPCB/RO(HQ)/HSMD/autho/,2020-07-28,2025-06-30,LAPSED_IN_LIST,Pune,greenenviropune@gmail.co,9604991177
60,"Bsqaure E-Waste Recyclers, Gala No. 800, Survey No. 69/3, Siddhivinayak Market, MohammadiaEstate, Pimpri, Thane, Dist: Thane, Maharashtra.",Recycler,325,MPCB/RO(HQ)/HSMD/autho/,2020-09-08,2025-08-31,LAPSED_IN_LIST,Thane,bdwadde501@gmail.com,9920440149
61,"SK E-Waste Disposal, Gat No. 116, Fine Weight Bridge, Jadhavwadi, Chikhali, Tal: Haveli, Dist: Pune.",Dismantler,250,MPCB/RO(HQ)/HSMD/autho/,2020-11-11,2025-10-31,LAPSED_IN_LIST,Pune,shadiqkhan50@gmail.com,9766696298
62,"Mahalaxmi E- Recyclers Pvt. Ltd.PlotNo.77 & 78, Subplot No. 3A, Ramtekdi Industrial Area, Hadapsar, Tal. Haveli, Dist. Pune",Recycler,525,MPCB/RO(HQ)/HSMD/autho/,2020-11-11,2025-10-31,LAPSED_IN_LIST,Pune,mpmehta_2000@yahoo.com,7276411826
63,"Kapila Enterprises, Gat No. 46/3, At. Post. Supa, Tal. Parner, Dist: Ahmednagar",Dismantler,250,MPCB/RO(HQ)/HSMD/autho/,2020-11-11,2025-10-31,LAPSED_IN_LIST,Ahmednagar,,9762803306
64,"Aqsa Stamping, Plot no. 55, Rangara Industrial Estate, 33/35, Kiravali (Adivali),Tal. Panvel, Dist. Raigad.",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2020-11-11,2025-05-31,LAPSED_IN_LIST,Raigad,aqsastamping@rocketmail.co,9820026815
65,"CPG Shell Mould & Casting, Plot No. W-39, Additional MIDC, Satara",Dismantler,1000,MPCB/RO(HQ)/HSMD/autho/,2020-12-02,2025-10-31,LAPSED_IN_LIST,,cpgshell@gmail.com,9822777706
66,"Rolex Entrprises, Survey No. 218, HissaNo. 4/1, Dahisar, Navi Mumbai",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2020-12-28,2024-05-31,LAPSED_IN_LIST,,rolex2030@gmail.com,9820072030
67,"Eco Tech Recycling, C/6, (5), Sagar Industrial Estate, S. No. 46/4, Dhumal Nagar, Vasai (E), Tal: Vasai, Dist: Palghar.",Dismantler,450,MPCB/RO(HQ)/HSMD/autho/,2021-01-05,2025-12-31,LAPSED_IN_LIST,Palghar,saiprasad.anavkar@gmail.co,9664998192
68,"R T Corporation, S.No.377, H.No.2, AmbisiGaneshpuri Road,",Dismantler,3000,MPCB/RO(HQ)/HSMD/autho/,2021-01-08,2025-12-31,LAPSED_IN_LIST,Palghar,rtc.iqbal@gmail.com,9324525208
69,"Ecostar Recycling, Survey No.94 Hissa No.12 Mahadev Industrial, Near Ladi Company, Mumbra, Dist: Thane-400612.",Dismantler,275,MPCB/RO(HQ)/HSMD/autho/,2021-01-08,2025-12-31,LAPSED_IN_LIST,Thane,recyclingecostar@gmail.com,9969425168
70,"Bombay Metal Works, Sr. 54, Hissa No. 4, Dahisar Road, Pimpri, Tal & Dist: Thane",Dismantler,1000,MPCB/RO(HQ)/HSMD/autho/,2021-02-23,2026-01-31,LAPSED_IN_LIST,Thane,bombay.mw@gmail.com,9820047496
71,"Ancus India Reprocessing Pvt. Ltd., shop No. 2, Bldg. No. 1, Tiwari Estate, Village Dhaniv, Nalasopara€, Vasai",Dismantler,450,MPCB/RO(HQ)/HSMD/autho/,2021-03-16,2026-02-28,LAPSED_IN_LIST,,ancusindia@gmail.com,9594285656
72,Progressive,Recycler,295,MPCB/RO(HQ)/HSMD/autho/,2021-03-31,2026-02-28,LAPSED_IN_LIST,,progressiverecycler@gmail.c,9601262269
73,"Envirocare Recycling Pvt. Ltd. Unit no: 8/ C-I Actual Industrial Complex, Uchat, Road, Village Magathane, Tal. Wada Dist. Thane",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2021-05-12,2026-03-30,LAPSED_IN_LIST,Thane,info@envirocareindia.co.in,9820094450
74,"Green Planet Recycling Solutions, Sr. No. 72/1/A, At Bhandarli, Dahisar Mori, Old Mumbra Panvel Road, Tal. & Dist. Thane",Dismantler,550,MPCB/RO(HQ)/HSMD/autho/,2021-05-12,2026-04-30,LAPSED_IN_LIST,Thane,info@greenrecycle.in,7666562225
75,"A. S. Enterprises, Shop No. 4 Shankar Temple, Jasmine Bldg. Pestam Sagar Road No. 4, Chembur,Mumbai Suburban - 400089",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2021-05-12,2024-04-30,LAPSED_IN_LIST,,as.enterprises9090@gmail.co,
76,"Rcube Recycling Pvt Ltd. Shree Ganesh Indl Estate,Vasai, Palghat,Khairpada,Palghar - 401330",Dismantler,230,MPCB/RO(HQ)/HSMD/autho/,2021-06-18,2026-05-31,LAPSED_IN_LIST,,info@rcuberecycling.com,8369684193
77,"Alfa Trading Co. KOLHAPUR ESTATE, YADAV NAGAR, KHERANI ROAD, SAKINAKA, Andheri, Mumbai Suburban - 400072",Dismantler,80,MPCB/RO(HQ)/HSMD/autho/,2021-06-23,2026-05-31,LAPSED_IN_LIST,,alfatradingcomp@gmail.com,9967665574
78,"Universal Waste Management Gala No. B-10, D. P. K. Compound, Khairani Road, Sakinaka, Mumbai – 400072 - 400072",Dismantler,310,MPCB/RO(HQ)/HSMD/autho/,2021-06-28,2026-05-31,LAPSED_IN_LIST,,snadeemalvi@gmail.com,8692005752
79,"Sadab Traders Plot No. 1154, Gat No. 140/2A/1, Village Vilholi, Behind Jain Temple, Tal & Dist. Nashik - 422010",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2021-06-25,2026-05-31,LAPSED_IN_LIST,Nashik,sadabtra.nsk@gmail.com,9372670601
80,"GNG Electronics Pvt. Ltd. Sr. No. 54, Hissa No. Dahisar Rd, Pimpri, Tal. & Dist. - Thane",Dismantler,750,MPCB/RO(HQ)/HSMD/autho/,2021-06-28,2023-07-31,LAPSED_IN_LIST,Thane,,7667568801
81,"ARSH RECYCLING PRIVATE LIMITED GAT No. 1750, RANJANGAON GANPATI, PUNE NAGAR ROAD, Ranjangaon Ganpati, Pune - 412209",Dismantler,2400,MPCB/RO(HQ)/HSMD/autho/,2021-06-29,2026-05-31,LAPSED_IN_LIST,,arshrecycling4@gmail.com,7040691499
82,"Masstech Recycling LLP Gala no 56, 58, 59 & 82, M.J.K. Compound, Kherani Road, Sakinaka, Mumbai - 400072 - 400072",Dismantler,400,MPCB/RO(HQ)/HSMD/autho/,2021-08-11,2026-07-31,LAPSED_IN_LIST,,bharatscrap07@gmail.com,9821430755
83,"SAHARA ENTERPRISES GAT N0 65 DEHU ALANDI ROAD, CHIKHALI, TAL.HAVELI DIST.PUNE - 411062",Dismantler,160,MPCB/RO(HQ)/HSMD/autho/,2021-08-24,2021-08-24,LAPSED_IN_LIST,,irfan2068@gmail.com,9821761541
84,"Green IT Recycling Center Pvt Ltd Plot No. D-222, MIDC Ranjangaon, Dist.- Pune - 412209",Dismantler,365,MPCB/RO(HQ)/HSMD/autho/,2021-09-01,2024-01-31,LAPSED_IN_LIST,Pune,rth_raj@hotmail.com,9822356062
85,"Anand Computer System 2160 B, Sadashiv Peth, Swamipuram Bldg, Shop No. 7,8,9, Pune - 411030",Dismantler,350,MPCB/RO(HQ)/HSMD/autho/,2021-10-22,2026-06-30,LAPSED_IN_LIST,,,9371015373
86,"Bharat E Waste Recycling Co. Sr. No. 189, Vill. Waliv, Vasai-Virar City (M Corp), Palghar - 401208.",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2021-10-22,2026-09-30,VALID,,info@bharatewaste.com,9224757187
87,"E-Waste Mart Survey No.94,Gala No.6,Umar Compound, Jahar Pada,Nalasopara, Vasai-Virar City (M Corp), District - Palghar - 401208.",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2021-10-25,2026-09-30,VALID,rict,info@ewastemart.com,8655113333
88,"Chaudhary Metal 80/2, Village -Waliwali Dahisar, Mori, Mumbra Panvel Road, Group Grampanchayat, Dist. Thane - 400612",Dismantler,350,MPCB/RO(HQ)/HSMD/autho/,2021-10-27,2026-09-30,VALID,Thane,chaudharymatel123@gmail.c,9167924507
89,"GREEN INDIA E-WASTE & RECYCLING OPC PVT. LTD. SURVEY NO. 74, HISSA NO. 1/A, House No. 500, POST- DAHISAR, District - Thane.",Dismantler,390,MPCB/RO(HQ)/HSMD/autho/,2021-10-27,2026-09-30,VALID,rict,info@gier.co.in,8080414447
90,"E Clean E Green Recycling Umar Compound, Jabar Pada, Nalasopara, Vasai-Virar City (M Corp), Dist. Palghar 401208.",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2021-10-29,2026-09-30,VALID,Palghar,,9920977276
91,"Earth Sense Recycle Pvt. Ltd. A7, Gala No.1,2 & 3, Ground Floor, Prerana Complex, Val Village, Dapoda Road, Anjurphatta, Bhiwandi, District-Thane.",Dismantler,750,MPCB/RO(HQ)/HSMD/autho/,2021-11-03,2023-09-30,LAPSED_IN_LIST,rict,ewastemumbai@earthsense.i,7738389404
92,"Regreen Recycling Flt 205, Pocket 5, Ganeshwadi CHS Ltd, Bldg. 5, Bhimnagar, MIDC Andheri (E), Mumbai Suburban - 400093",Dismantler,120,MPCB/RO(HQ)/HSMD/autho/,2021-11-01,2026-10-31,VALID,,info@regreenrecycling.com,9819787816
93,"Solapur Econ Recyfine Plot No. K-47 MIDC Chincholi, Tal. Mohol Chincholikati, Solapur – 413255",Dismantler,750,MPCB/RO(HQ)/HSMD/autho/,2021-12-24,2025-07-31,LAPSED_IN_LIST,,,9763034875
94,"Greenscape Eco Management Private Limited MIDC Chakan Industrial Area (Ph-II), Pune - 410501",Dismantler,900,MPCB/RO(HQ)/HSMD/autho/,2021-12-24,2026-12-31,VALID,,rupesh@greenscape-eco.com,7558426313
95,"Krishna Metal Refinery Plot No.1-2/143, Sapronde Village, Taluka - Wada, District- Thane - 400086",Dismantler,750,MPCB/RO(HQ)/HSMD/autho/,2021-12-24,2025-07-06,LAPSED_IN_LIST,rict,krishnarefinery@gmail.com,9323901533
96,"Suritex Pvt.Ltd. Plot No. B-111, MIDC Industrial Area, Butibori, District - Nagpur.",Dismantler,360,MPCB/RO(HQ)/HSMD/autho/,2021-12-28,2026-02-28,LAPSED_IN_LIST,rict,info@suritex.co.in,9049981347
97,"Kuldeep E-Waste Disposals, Sr. No. 50, Waghjainagar, Mabegaon Khurd, Katraj- Ambegaon Road, Katraj, Pune - 411046",Dismantler,90,MPCB/RO(HQ)/HSMD/autho/,2022-02-16,2026-09-30,VALID,,sagarscrap@gmail.com,9850289885
98,"Connect Info Solutions India Private Limited c/o: A-one Logistics Shop No 4, Saibaba Apartment, Plot No 12, Sector 9, Near Corporation",Dismantler,130,MPCB/RO(HQ)/HSMD/autho/,2022-02-17,2027-01-31,VALID,,jayant@connectinfosol.com,9820297108
99,"Mac Fix Station Office No. 201, Makhija Arcade, 35thRoad, Khar Bandra Linking Road, Bandra, Mumbai Suburban - 400052",Dismantler,800,MPCB/RO(HQ)/HSMD/autho/,2022-02-17,2027-02-28,VALID,,skasim11@gmail.com,8879765306
100,"Manish Metal Gat No 925, Near Ashtekar Bangla, A/P- Theur, Dist- Pune - 412110",Dismantler,550,MPCB/RO(HQ)/HSMD/autho/,2022-02-18,2027-02-28,VALID,Pune,manish.metal5050@gmail.co,9850059804
101,"S.K. Enterprises Plot No: 134 Paiki Sub Plot No.- 1, Ahmednagar Industrial Estate Co-Op. Society Ltd, Nagpur-Pune Road, Ta & Dist - Ahmedanagar-414005.",Dismantler,5000,MPCB/RO(HQ)/HSMD/autho/,2022-02-22,2024-04-30,LAPSED_IN_LIST,Ahmedanagar,skeprocessorsindia@yahoo.c,9422232332
